matrix_index,mixture_num,max_key_mol,max_key_idx,max_query_mol,max_weight_val,min_key_mol,min_key_idx,min_query_mol,min_weight_val
435,1,CC1=CC(=O)CC(C)(C)C1,3,COc1ccccc1O,0.31777528,CCOC(=O)C1OC1(C)c1ccccc1,0,COc1ccccc1O,0.08234562
435,1,CC1=CC(=O)CC(C)(C)C1,3,O=C(O)Cc1ccccc1,0.4599209,CCOC(=O)C1OC1(C)c1ccccc1,0,O=C(O)Cc1ccccc1,0.1032045
435,1,CC1=CC(=O)CC(C)(C)C1,3,CC1=CC(=O)CC(C)(C)C1,0.3219284,CCOC(=O)C1OC1(C)c1ccccc1,0,CC1=CC(=O)CC(C)(C)C1,0.17468798
436,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,16,CC(=O)c1ccccc1,0.45233038,CCOC(=O)CC,11,CC(=O)c1ccccc1,0.03875957
436,0,CSSSC,10,CCCCCC1CCC(=O)O1,0.44710943,CCCCC(=O)O,20,CCCCCC1CCC(=O)O1,0.083919436
436,0,CCCSCCC,24,CC(C)CCOC(=O)Cc1ccccc1,0.61286175,CC(C)CC(=O)O,29,CC(C)CCOC(=O)Cc1ccccc1,0.088120036
436,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,16,CCCCCOC(=O)CCCC,0.6808172,CC(C)CC(=O)O,29,CCCCCOC(=O)CCCC,0.1655715
436,0,Cc1ccc(C(C)C)c(O)c1,26,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,0.58435,C=CCCCCCCCCC(=O)O,28,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,0.034108125
436,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,16,Cc1cc(O)c(C(C)C)cc1Cl,0.43795484,CCOC(=O)CC,11,Cc1cc(O)c(C(C)C)cc1Cl,0.027034761
436,0,CCCSCCC,24,O=CC=Cc1ccccc1,0.30678767,C=CCCCCCCCCC(=O)O,28,O=CC=Cc1ccccc1,0.018077247
436,0,CCCSCCC,24,CC(C)(O)CCc1ccccc1,0.39379948,C=CCCCCCCCCC(=O)O,28,CC(C)(O)CCc1ccccc1,0.013412855
436,0,Cc1ccc(C(C)C)c(O)c1,26,Cc1nccnc1C,0.43650854,C=CCCCCCCCCC(=O)O,28,Cc1nccnc1C,0.07479247
436,0,Cc1ccc(C(C)C)c(O)c1,26,Cc1cnc(C)cn1,0.4875023,C=CCCCCCCCCC(=O)O,28,Cc1cnc(C)cn1,0.10078846
436,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,16,CSSSC,0.68363893,C=CCCCCCCCCC(=O)O,28,CSSSC,0.013565505
436,0,CCCSCCC,24,CCOC(=O)CC,0.6353871,CC(C)CC(=O)O,29,CCOC(=O)CC,0.08610803
436,0,CCCSCCC,24,C=CCc1ccc(O)c(OC)c1,0.35207236,CCCCC(=O)O,20,C=CCc1ccc(O)c(OC)c1,0.035033304
436,0,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,4,CCCCCC=O,0.5916766,CCCCCCCC1CCC(=O)O1,27,CCCCCC=O,0.13078013
436,0,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,4,CC(CC=O)CCCC(C)(C)O,0.44755703,CCCCCCCC1CCC(=O)O1,27,CC(CC=O)CCCC(C)(C)O,0.015864348
436,0,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,4,CC(C)=CCCC(C)C=O,0.37110928,C=CCCCCCCCCC(=O)O,28,CC(C)=CCCC(C)C=O,0.036930844
436,0,CCCSCCC,24,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,0.30067235,C=CCCCCCCCCC(=O)O,28,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,0.03788366
436,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,16,COc1ccc2ccccc2c1,0.52690786,C=CCCCCCCCCC(=O)O,28,COc1ccc2ccccc2c1,0.030726623
436,0,Cc1ccc(C(C)C)c(O)c1,26,CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,0.6336383,C=CCCCCCCCCC(=O)O,28,CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,0.023752348
436,0,CCCSCCC,24,C=CC(O)CCCCC,0.42132977,CC(C)CC(=O)O,29,C=CC(O)CCCCC,0.07238322
436,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,16,CCCCC(=O)O,0.64933383,CCOC(=O)CC,11,CCCCC(=O)O,0.1297002
436,0,CCCSCCC,24,OCCc1ccccc1,0.45596874,CCCCC(=O)O,20,OCCc1ccccc1,0.021112135
436,0,CCCSCCC,24,CC1=CCC2CC1C2(C)C,0.37080917,CCCCC(=O)O,20,CC1=CCC2CC1C2(C)C,0.049624823
436,0,CSSSC,10,CCCOC(=O)CCC,0.6686433,CC(C)CC(=O)O,29,CCCOC(=O)CCC,0.1120279
436,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,16,CCCSCCC,0.7012419,C=CCCCCCCCCC(=O)O,28,CCCSCCC,0.030113937
436,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,16,c1ccsc1,0.71832097,C=CCCCCCCCCC(=O)O,28,c1ccsc1,0.016672356
436,0,Cc1ccc(C(C)C)c(O)c1,26,Cc1ccc(C(C)C)c(O)c1,0.38135406,CCOC(=O)CC,11,Cc1ccc(C(C)C)c(O)c1,0.06935264
